Refract	Owner	Reading	Trial	Unit	Solution	Expected
Yellow	Shay	1.33	1	TDS	Filter Brew	
DiFluid	Shay	1.26	1	TDS	Filter Brew	
DiFluid	John	1.32	1	TDS	Filter Brew	
DiFluid	Brian	1.18	1	TDS	Filter Brew	
Atago	Shay	1.3	1	TDS	Filter Brew	
Yellow	John	1.39	2	TDS	Filter Brew	
Yellow	Brian	1.29	2	TDS	Filter Brew	
Yellow	Shay	1.32	2	TDS	Filter Brew	
DiFluid	Shay	1.25	2	TDS	Filter Brew	
DiFluid	John	1.33	2	TDS	Filter Brew	
DiFluid	Brian	1.16	2	TDS	Filter Brew	
Atago	Shay	1.27	2	TDS	Filter Brew	
Yellow	John	1.4	3	TDS	Filter Brew	
Yellow	Brian	1.31	3	TDS	Filter Brew	
Yellow	Shay	1.32	3	TDS	Filter Brew	
DiFluid	Shay	1.24	3	TDS	Filter Brew	
DiFluid	John	1.32	3	TDS	Filter Brew	
DiFluid	Brian	1.14	3	TDS	Filter Brew	
Atago	Shay	1.27	3	TDS	Filter Brew	
Yellow	John	10.27	1	TDS	Espresso	
Yellow	Brian	10.33	1	TDS	Espresso	
Yellow	Shay	10.53	1	TDS	Espresso	
DiFluid	Shay	10.64	1	TDS	Espresso	
DiFluid	John	10.79	1	TDS	Espresso	
DiFluid	Brian	10.48	1	TDS	Espresso	
Atago	Shay	10.65	1	TDS	Espresso	
Yellow	John	10.28	2	TDS	Espresso	
Yellow	Brian	10.33	2	TDS	Espresso	
Yellow	Shay	10.56	2	TDS	Espresso	
DiFluid	Shay	10.64	2	TDS	Espresso	
DiFluid	John	10.79	2	TDS	Espresso	
DiFluid	Brian	10.46	2	TDS	Espresso	
Atago	Shay	10.65	2	TDS	Espresso	
Yellow	John	10.35	3	TDS	Espresso	
Yellow	Brian	10.37	3	TDS	Espresso	
Yellow	Shay	10.6	3	TDS	Espresso	
DiFluid	Shay	10.61	3	TDS	Espresso	
DiFluid	John	10.79	3	TDS	Espresso	
DiFluid	Brian	10.49	3	TDS	Espresso	
Atago	Shay	10.66	3	TDS	Espresso	
